Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.001     0.000     0.000     0.001       14   HTTPClient::Connection#initialize 
  0.07      0.008     0.000     0.000     0.008       14   HTTP::Message::Headers#set_headers 
  0.07      0.000     0.000     0.000     0.000       42   HTTP::Message#status 
  0.07      0.002     0.000     0.000     0.002       14   HTTP::Message::Headers#set_date_header 
  0.07      0.000     0.000     0.000     0.000       80   Kernel#class 
  0.07      0.000     0.000     0.000     0.000       53   String#force_encoding 
  0.07      0.000     0.000     0.000     0.000       42   String#<=> 
  0.06      0.001     0.000     0.000     0.001       46   Hash#each 
  0.06      0.000     0.000     0.000     0.000       68   Fixnum#zero? 
  0.06      0.000     0.000     0.000     0.000       14   BasicObject#instance_eval 
  0.06      0.000     0.000     0.000     0.000       59   Mutex#unlock 
  0.06      0.001     0.000     0.000     0.001       13   HTTPClient::SessionManager#valid_session? 
  0.06      0.009     0.000     0.000     0.009       10   UWDC::XML#nokogiri_parse 
  0.06      0.000     0.000     0.000     0.000       57   <Class::Time>#allocate 
  0.06      0.000     0.000     0.000     0.000       14   Time#utc 
  0.06      0.204     0.000     0.000     0.204       14   HTTPClient#get 
  0.06      0.000     0.000     0.000     0.000       70   Fixnum#+ 
  0.06      0.000     0.000     0.000     0.000       68   <Class::Thread>#current 
  0.06      0.001     0.000     0.000     0.001       14   HTTP::Message::Body#init_request 
  0.06      0.000     0.000     0.000     0.000       28   Nokogiri::XML::XPathContext#register_namespaces 
  0.06      0.000     0.000     0.000     0.000       15   Kernel#extend 
  0.06      0.000     0.000     0.000     0.000       10   Nokogiri::XML::NodeSet#initialize 
  0.06      0.000     0.000     0.000     0.000       14   <Class::HTTP::Message>#create_query_part_str 
  0.06      0.000     0.000     0.000     0.000       14   HTTP::Message::Headers#init_request 
  0.06      0.000     0.000     0.000     0.000       14   HTTPClient::OAuth#get 
  0.06      0.000     0.000     0.000     0.000       67   Kernel#respond_to_missing? 
  0.06      0.000     0.000     0.000     0.000       14   HTTP::Message::Body#init_response 
  0.06      0.047     0.000     0.000     0.046       14   HTTPClient::Session#parse_header 
  0.06      0.000     0.000     0.000     0.000       15   HTTPClient::Util#keyword_argument 
  0.06      0.000     0.000     0.000     0.000       54   Fixnum#* 
  0.06      0.023     0.000     0.000     0.022      140  *Nokogiri::XML::NodeSet#each 
  0.05      0.194     0.000     0.000     0.193       14   HTTPClient#protect_keep_alive_disconnected 
  0.05      0.000     0.000     0.000     0.000       15   Module#extend_object 
  0.05      0.000     0.000     0.000     0.000       14   HTTPClient::WWWAuth#filter_response 
  0.05      0.000     0.000     0.000     0.000       28   Nokogiri::VersionInfo#libxml2? 
